Apple Computer|Model Identifier
Power Macintosh G5 Dual Core (2.3)|PowerMac11,2
Power Macintosh G5 "Quad Core" (2.5)|PowerMac11,2
PowerBook G3 250 (Original/Kanga/3500)|N/A*
PowerBook G3 233 (Wallstreet)|N/A*
PowerBook G3 250 (Wallstreet)|N/A*
PowerBook G3 292 (Wallstreet)|N/A*
PowerBook G3 233 (PDQ - Late 1998)|N/A*
PowerBook G3 266 (PDQ - Late 1998)|N/A*
PowerBook G3 300 (PDQ - Late 1998)|N/A*
PowerBook G3 333 (Bronze KB/Lombard)|PowerBook1,1
PowerBook G3 400 (Bronze KB/Lombard)|PowerBook1,1
PowerBook G3 400 (Firewire/Pismo)|PowerBook3,1
PowerBook G3 500 (Firewire/Pismo)|PowerBook3,1
PowerBook G4 400 (Original - Ti)|PowerBook3,2
PowerBook G4 500 (Original - Ti)|PowerBook3,2
PowerBook G4 550 (Gigabit - Ti)|PowerBook3,3
PowerBook G4 667 (Gigabit - Ti)|PowerBook3,3
PowerBook G4 667 (DVI - Ti)|PowerBook3,4
PowerBook G4 800 (DVI - Ti)|PowerBook3,4
PowerBook G4 867 (Ti)|PowerBook3,5
PowerBook G4 1.0 (Ti)|PowerBook3,5
PowerBook G4 867 12" (Al)|PowerBook6,1
PowerBook G4 1.0 17" (Al)|PowerBook5,1
PowerBook G4 1.0 12" (DVI - Al)|PowerBook6,2
PowerBook G4 1.0 15" (FW800 - Al)|PowerBook5,2
PowerBook G4 1.25 15" (FW800 - Al)|PowerBook5,2
PowerBook G4 1.33 17" (Al)|PowerBook5,3
PowerBook G4 1.33 12" (Al)|PowerBook6,4
PowerBook G4 1.33 15" (Al)|PowerBook5,4
PowerBook G4 1.5 15" (Al)|PowerBook5,4
PowerBook G4 1.5 17" (Al)|PowerBook5,5
PowerBook G4 1.5 12" (Al)|PowerBook6,8
PowerBook G4 1.5 15" (SMS/BT2 - Al)|PowerBook5,6
PowerBook G4 1.67 15" (Al)|PowerBook5,6
PowerBook G4 1.67 17" (Al)|PowerBook5,7
PowerBook G4 1.67 15" (DLSD/HR - Al)|PowerBook5,8
PowerBook G4 1.67 17" (DLSD/HR - Al)|PowerBook5,9
Xserve G4/1.0|RackMac1,1
Xserve G4/1.0 DP|RackMac1,1
Xserve G4/1.33 (Slot Load)|RackMac1,2
Xserve G4/1.33 DP (Slot Load)|RackMac1,2
Xserve G4/1.33 DP Cluster Node|RackMac1,2
Xserve G5/2.0 (PCI-X)|RackMac3,1
Xserve G5/2.0 DP (PCI-X)|RackMac3,1
Xserve G5/2.0 DP Cluster Node (PCI-X)|RackMac3,1
Xserve G5/2.3 DP (PCI-X)|RackMac3,1
Xserve G5/2.3 DP Cluster Node (PCI-X)|RackMac3,1
Xserve Xeon 2.0 "Quad Core" (Late 2006)|Xserve1,1
Xserve Xeon 2.66 "Quad Core" (Late 2006)|Xserve1,1
Xserve Xeon 3.0 "Quad Core" (Late 2006)|Xserve1,1
Xserve Xeon 2.8 "Quad Core" (Early 2008)|Xserve2,1
Xserve Xeon 2.8 "Eight Core" (Early 2008)|Xserve2,1
Xserve Xeon 3.0 "Eight Core" (Early 2008)|Xserve2,1
Xserve Xeon Nehalem 2.26 "Quad Core"|Xserve3,1
Xserve Xeon Nehalem 2.26 "Eight Core"|Xserve3,1
Xserve Xeon Nehalem 2.66 "Eight Core"|Xserve3,1
Xserve Xeon Nehalem 2.93 "Eight Core"|Xserve3,1
